Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-05-24,283.74,284.2,282.09,282.78,277.12,55268100,0.0,0
2019-05-28,283.09,284.15,280.13,280.15,274.54,70029400,0.0,0
2019-05-29,278.91,279.36,276.71,278.27,272.7,104972900,0.0,0
2019-05-30,279.11,280.04,277.81,279.03,273.44,62523800,0.0,0
2019-05-31,276.2,277.12,275.24,275.27,269.76,86862800,0.0,0
2019-06-03,275.31,276.55,273.09,274.57,269.07,96428000,0.0,0
2019-06-04,277.12,280.68,276.62,280.53,274.91,77231900,0.0,0
2019-06-05,282.33,282.99,280.32,282.96,277.29,71169700,0.0,0
2019-06-06,283.29,285.55,282.57,284.8,279.1,69430400,0.0,0
2019-06-07,285.93,288.85,285.74,287.65,281.89,74272200,0.0,0
2019-06-10,289.37,290.82,288.87,288.97,283.18,60799100,0.0,0
2019-06-11,290.99,291.4,288.18,288.9,283.12,58641300,0.0,0
2019-06-12,288.64,289.26,287.82,288.39,282.62,46984700,0.0,0
2019-06-13,289.4,289.98,288.62,289.58,283.78,48945200,0.0,0
2019-06-14,289.26,289.93,288.41,289.26,283.47,52324700,0.0,0
2019-06-17,289.52,290.22,289.18,289.37,283.58,39205700,0.0,0
2019-06-18,291.39,293.57,290.99,292.4,286.55,85434800,0.0,0
2019-06-19,292.55,293.65,291.47,293.06,287.19,78674400,0.0,0
2019-06-20,296.04,296.31,293.13,295.86,289.94,116570000,0.0,0
2019-06-21,294.13,295.52,293.76,294.0,289.51,83309500,1.432,0
2019-06-24,294.23,294.58,293.47,293.64,289.16,47582700,0.0,0
2019-06-25,293.7,293.73,290.64,290.76,286.32,82028700,0.0,0
2019-06-26,291.75,292.31,290.35,290.47,286.04,51584900,0.0,0
2019-06-27,291.31,292.06,290.89,291.5,287.05,40355200,0.0,0
2019-06-28,292.58,293.55,292.01,293.0,288.53,59350900,0.0,0
2019-07-01,296.68,296.92,294.33,295.66,291.15,79107500,0.0,0
2019-07-02,295.61,296.49,294.68,296.43,291.91,61504500,0.0,0
2019-07-03,297.18,298.82,297.02,298.8,294.24,40898900,0.0,0
2019-07-05,297.44,298.64,296.01,298.46,293.91,51677300,0.0,0
2019-07-08,297.01,298.26,296.22,296.82,292.29,45841800,0.0,0
2019-07-09,295.54,297.52,295.48,297.19,292.66,41101300,0.0,0
2019-07-10,298.37,299.66,297.78,298.61,294.05,58448500,0.0,0
2019-07-11,299.32,299.58,298.2,299.31,294.74,50826100,0.0,0
2019-07-12,299.85,300.73,299.51,300.65,296.06,40326000,0.0,0
2019-07-15,301.13,301.13,300.19,300.75,296.16,33900000,0.0,0
2019-07-16,300.65,300.88,299.44,299.78,295.21,36650100,0.0,0
2019-07-17,299.75,299.93,297.74,297.74,293.2,36036300,0.0,0
2019-07-18,297.19,299.25,296.7,298.83,294.27,51392600,0.0,0
2019-07-19,300.04,300.07,296.98,297.17,292.64,58678600,0.0,0
2019-07-22,297.61,298.5,297.04,297.9,293.35,43638100,0.0,0
2019-07-23,299.14,300.03,298.22,300.03,295.45,44564500,0.0,0
2019-07-24,299.19,301.44,299.09,301.44,296.84,47213200,0.0,0
2019-07-25,300.94,301.0,299.11,300.0,295.42,55394100,0.0,0
2019-07-26,300.76,302.23,300.62,302.01,297.4,45084100,0.0,0
2019-07-29,301.88,302.01,300.85,301.46,296.86,38126500,0.0,0
2019-07-30,299.91,301.17,299.49,300.72,296.13,45849000,0.0,0
2019-07-31,300.99,301.2,295.2,297.43,292.89,104245200,0.0,0
2019-08-01,297.6,300.87,293.96,294.84,290.34,142646600,0.0,0
2019-08-02,293.85,294.12,290.9,292.62,288.16,116749700,0.0,0
2019-08-05,288.09,288.21,281.72,283.82,279.49,178745400,0.0,0
2019-08-06,285.91,288.04,284.28,287.8,283.41,120711700,0.0,0
2019-08-07,284.4,288.82,282.04,287.97,283.58,140572300,0.0,0
2019-08-08,289.62,293.62,289.01,293.62,289.14,87713900,0.0,0
2019-08-09,292.58,293.24,289.65,291.62,287.17,93730000,0.0,0
2019-08-12,289.96,291.61,287.02,288.07,283.67,62629500,0.0,0
2019-08-13,287.74,294.15,287.36,292.55,288.09,94299800,0.0,0
2019-08-14,288.07,288.74,283.76,283.9,279.57,135622100,0.0,0
2019-08-15,284.88,285.64,282.39,284.65,280.31,99556600,0.0,0
2019-08-16,286.48,289.33,284.71,288.85,284.44,83018300,0.0,0
2019-08-19,292.19,293.08,291.44,292.33,287.87,53571800,0.0,0
2019-08-20,291.77,292.36,289.95,290.09,285.66,51596400,0.0,0
2019-08-21,292.48,292.86,291.72,292.45,287.99,49524700,0.0,0
2019-08-22,293.23,293.93,290.4,292.36,287.9,51666400,0.0,0
2019-08-23,290.92,292.76,283.47,284.85,280.5,149161500,0.0,0
2019-08-26,287.27,288.0,285.58,288.0,283.61,72423800,0.0,0
2019-08-27,289.54,289.95,286.03,286.87,282.49,66668900,0.0,0
2019-08-28,286.14,289.07,285.25,288.89,284.48,59696700,0.0,0
2019-08-29,291.72,293.16,290.61,292.58,288.12,57899400,0.0,0
2019-08-30,294.22,294.24,291.42,292.45,287.99,62901200,0.0,0
2019-09-03,290.57,291.58,289.27,290.74,286.3,69101400,0.0,0
2019-09-04,293.14,294.06,292.31,294.04,289.55,46887300,0.0,0
2019-09-05,296.79,298.83,294.0,297.82,293.28,83258100,0.0,0
2019-09-06,298.17,298.76,297.42,298.05,293.5,49584300,0.0,0
2019-09-09,299.14,299.24,297.16,298.2,293.65,51260300,0.0,0
2019-09-10,297.36,298.2,295.97,298.13,293.58,57947100,0.0,0
2019-09-11,298.47,300.34,297.75,300.25,295.67,68821100,0.0,0
2019-09-12,301.25,302.46,300.41,301.29,296.69,72908700,0.0,0
2019-09-13,301.78,302.17,300.68,301.09,296.5,62104800,0.0,0
2019-09-16,299.84,301.14,299.45,300.16,295.58,58191200,0.0,0
2019-09-17,299.94,301.02,299.75,300.92,296.33,41475500,0.0,0
2019-09-18,300.49,301.22,298.24,301.1,296.51,73375800,0.0,0
2019-09-19,301.53,302.63,300.71,301.08,296.49,76560500,0.0,0
2019-09-20,300.36,300.67,297.41,298.28,295.09,89565000,1.384,0
2019-09-23,297.55,299.0,297.27,298.21,295.02,43476800,0.0,0
2019-09-24,299.41,299.84,294.81,295.87,292.7,94869400,0.0,0
2019-09-25,295.96,298.11,294.33,297.62,294.43,71854000,0.0,0
2019-09-26,297.63,297.86,295.45,297.0,293.82,56179700,0.0,0
2019-09-27,297.83,297.95,293.69,295.4,292.24,84746600,0.0,0
2019-09-30,295.97,297.55,295.92,296.77,293.59,51662400,0.0,0
2019-10-01,297.74,298.46,293.0,293.24,290.1,88242400,0.0,0
