Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-05-24,117.74,118.08,116.33,116.88,116.14,884200,0.0,0.0
2019-05-28,117.14,118.03,114.69,114.71,113.98,1520000,0.0,0.0
2019-05-29,113.67,114.04,111.87,113.23,112.51,2291000,0.0,0.0
2019-05-30,113.78,114.57,112.76,113.72,113.0,1333400,0.0,0.0
2019-05-31,111.43,112.19,110.64,110.68,109.98,2181400,0.0,0.0
2019-06-03,110.66,111.68,108.88,110.06,109.36,3343000,0.0,0.0
2019-06-04,112.13,114.99,111.73,114.82,114.09,1983200,0.0,0.0
2019-06-05,116.35,116.86,114.67,116.8,116.06,1740900,0.0,0.0
2019-06-06,117.07,118.97,116.5,118.34,117.59,1886900,0.0,0.0
2019-06-07,119.29,121.7,119.12,120.65,119.88,1949600,0.0,0.0
2019-06-10,122.14,123.36,121.72,121.83,121.06,1840700,0.0,0.0
2019-06-11,123.51,123.85,121.15,121.74,120.97,1474700,0.0,0.0
2019-06-12,121.51,122.02,120.81,121.31,120.54,967100,0.0,0.0
2019-06-13,122.13,122.59,121.46,122.37,121.59,1070500,0.0,0.0
2019-06-14,121.96,122.53,121.28,121.94,121.17,687800,0.0,0.0
2019-06-17,122.18,122.77,121.89,122.13,121.36,807000,0.0,0.0
2019-06-18,123.72,125.6,123.42,124.48,123.69,1431300,0.0,0.0
2019-06-19,124.72,125.63,123.79,125.2,124.41,1033000,0.0,0.0
2019-06-20,127.67,127.88,125.6,127.48,126.67,1074500,0.0,0.0
2019-06-21,127.22,128.44,126.92,127.16,126.35,1172600,0.0,0.0
2019-06-24,127.28,127.58,126.66,126.84,126.04,820500,0.0,0.0
2019-06-25,126.58,126.58,123.95,124.04,123.51,1210600,0.266,0.0
2019-06-26,124.87,125.35,123.67,123.73,123.2,927700,0.0,0.0
2019-06-27,124.47,125.09,124.13,124.68,124.15,866300,0.0,0.0
2019-06-28,125.53,126.36,125.07,126.01,125.47,1022100,0.0,0.0
2019-07-01,129.01,129.21,127.01,128.1,127.56,1787500,0.0,0.0
2019-07-02,128.07,128.83,127.27,128.79,128.24,1024500,0.0,0.0
2019-07-03,129.44,130.81,129.26,130.78,130.22,938700,0.0,0.0
2019-07-05,129.62,130.65,128.36,130.46,129.91,1314200,0.0,0.0
2019-07-08,129.21,129.52,128.53,129.01,128.46,1203100,0.0,0.0
2019-07-09,127.91,129.64,127.88,129.43,128.88,803200,0.0,0.0
2019-07-10,130.4,131.46,129.87,130.53,129.97,1191000,0.0,0.0
2019-07-11,131.19,131.39,130.19,131.11,130.55,1054800,0.0,0.0
2019-07-12,131.61,132.38,131.33,132.33,131.77,763400,0.0,0.0
2019-07-15,132.72,132.73,131.92,132.4,131.84,748000,0.0,0.0
2019-07-16,132.3,132.46,131.21,131.5,130.94,904200,0.0,0.0
2019-07-17,131.46,131.59,129.69,129.69,129.14,999300,0.0,0.0
2019-07-18,129.19,130.98,128.76,130.64,130.08,1392000,0.0,0.0
2019-07-19,131.68,131.81,128.98,129.15,128.6,1401500,0.0,0.0
2019-07-22,129.53,130.29,129.04,129.77,129.22,810900,0.0,0.0
2019-07-23,130.83,131.62,130.06,131.6,131.04,806200,0.0,0.0
2019-07-24,130.9,132.8,130.79,132.8,132.24,966300,0.0,0.0
2019-07-25,132.41,132.41,130.75,131.53,130.97,1087700,0.0,0.0
2019-07-26,132.21,133.46,132.1,133.28,132.71,1002300,0.0,0.0
2019-07-29,133.14,133.19,132.24,132.84,132.28,761900,0.0,0.0
2019-07-30,131.4,132.51,131.07,132.18,131.62,892200,0.0,0.0
2019-07-31,132.33,132.52,127.3,129.18,128.63,2736300,0.0,0.0
2019-08-01,129.31,132.15,126.16,126.88,126.34,3081300,0.0,0.0
2019-08-02,126.06,126.25,123.51,125.24,124.71,2465400,0.0,0.0
2019-08-05,121.14,121.22,115.67,117.72,117.22,3510200,0.0,0.0
2019-08-06,119.19,120.95,117.83,120.78,120.27,2446700,0.0,0.0
2019-08-07,117.87,121.56,115.93,120.85,120.34,3472000,0.0,0.0
2019-08-08,122.25,125.52,121.74,125.47,124.94,1685000,0.0,0.0
2019-08-09,124.7,125.25,122.19,123.85,123.32,2510800,0.0,0.0
2019-08-12,122.38,122.94,119.92,120.87,120.36,1367700,0.0,0.0
