Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-08-06,67.1,67.19,65.43,65.97,64.13,3437100,0.0,0.0
2015-08-07,65.77,65.87,64.95,65.64,63.81,3444600,0.0,0.0
2015-08-10,66.45,67.33,66.45,67.26,65.39,3751400,0.0,0.0
2015-08-11,66.24,66.55,65.47,66.01,64.17,4139900,0.0,0.0
2015-08-12,65.05,66.34,63.96,66.16,64.32,6895400,0.0,0.0
2015-08-13,66.12,66.6,65.63,66.03,64.19,3700500,0.0,0.0
2015-08-14,65.93,66.56,65.78,66.49,64.64,2385300,0.0,0.0
2015-08-17,66.08,67.25,65.71,67.25,65.38,2886600,0.0,0.0
2015-08-18,67.06,67.3,66.68,66.84,64.98,2243100,0.0,0.0
2015-08-19,66.29,66.88,65.19,65.78,63.95,6311800,0.0,0.0
2015-08-20,64.66,65.06,63.0,63.05,61.3,8536800,0.0,0.0
2015-08-21,61.68,62.39,59.06,59.12,57.48,12530100,0.0,0.0
2015-08-24,52.93,58.03,50.0,54.23,52.72,10832700,0.0,0.0
2015-08-25,57.74,57.74,52.84,52.93,51.46,8724900,0.0,0.0
2015-08-26,55.63,57.17,53.57,57.03,55.44,7163000,0.0,0.0
2015-08-27,58.6,59.92,57.46,59.8,58.14,8259200,0.0,0.0
2015-08-28,59.33,60.16,59.02,59.79,58.13,5188200,0.0,0.0
2015-08-31,59.13,59.73,58.46,58.86,57.22,4683500,0.0,0.0
2015-09-01,56.09,57.11,54.72,55.29,53.75,10184500,0.0,0.0
2015-09-02,57.02,57.45,55.71,57.43,55.83,6709600,0.0,0.0
2015-09-03,57.91,58.99,57.17,57.52,55.92,5805300,0.0,0.0
2015-09-04,55.93,56.52,55.19,55.78,54.23,6357200,0.0,0.0
2015-09-08,57.73,58.67,57.27,58.63,57.0,4589900,0.0,0.0
2015-09-09,59.71,59.78,56.74,57.0,55.41,5095800,0.0,0.0
2015-09-10,56.87,58.43,56.69,57.61,56.01,5267700,0.0,0.0
2015-09-11,57.33,58.15,56.85,58.12,56.5,3092800,0.0,0.0
2015-09-14,58.28,58.28,57.38,57.7,56.09,3270500,0.0,0.0
2015-09-15,58.05,59.46,57.76,59.14,57.49,3365100,0.0,0.0
2015-09-16,59.35,60.31,59.13,60.2,58.52,3768800,0.0,0.0
2015-09-17,60.06,61.77,59.65,59.9,58.23,7569200,0.0,0.0
2015-09-18,58.1,59.23,57.66,57.96,56.35,8453800,0.0,0.0
2015-09-21,58.54,59.26,57.8,58.51,56.88,4991400,0.0,0.0
2015-09-22,57.03,57.35,56.22,57.04,55.45,6249800,0.0,0.0
2015-09-23,57.12,57.47,56.44,56.79,55.21,3980400,0.0,0.0
2015-09-24,55.98,56.75,55.06,56.47,54.9,7554400,0.0,0.0
2015-09-25,57.43,57.65,55.78,56.39,54.82,10021200,0.0,0.0
2015-09-28,55.76,55.82,53.36,53.54,52.05,9465500,0.0,0.0
2015-09-29,53.7,54.54,52.95,53.61,52.12,8291100,0.0,0.0
2015-09-30,54.9,55.71,54.36,55.6,54.05,7969900,0.0,0.0
2015-10-01,55.89,56.1,54.57,55.92,54.36,6675200,0.0,0.0
2015-10-02,54.52,57.58,54.17,57.58,55.98,9349000,0.0,0.0
2015-10-05,58.41,59.77,58.36,59.61,57.95,4683100,0.0,0.0
2015-10-06,59.56,59.91,58.73,59.2,57.55,4415200,0.0,0.0
2015-10-07,59.85,60.42,59.02,60.17,58.5,4963100,0.0,0.0
2015-10-08,59.89,61.46,59.69,61.26,59.56,5699200,0.0,0.0
2015-10-09,61.38,61.67,60.88,61.32,59.61,2968900,0.0,0.0
2015-10-12,61.41,61.59,61.08,61.43,59.72,1679800,0.0,0.0
2015-10-13,60.92,61.83,60.55,60.68,58.99,2747200,0.0,0.0
2015-10-14,60.67,61.05,59.87,60.04,58.37,3501800,0.0,0.0
2015-10-15,60.58,61.92,60.3,61.92,60.2,3610600,0.0,0.0
2015-10-16,62.19,62.48,61.66,62.42,60.68,3307900,0.0,0.0
2015-10-19,62.03,62.54,61.79,62.49,60.75,2467100,0.0,0.0
2015-10-20,62.22,62.83,62.04,62.35,60.62,2213000,0.0,0.0
2015-10-21,62.7,62.78,61.48,61.63,59.92,4022300,0.0,0.0
2015-10-22,62.32,63.82,62.2,63.63,61.86,5032800,0.0,0.0
2015-10-23,64.91,65.36,64.34,65.1,63.29,4854000,0.0,0.0
2015-10-26,64.95,65.0,64.5,64.78,62.98,2393000,0.0,0.0
2015-10-27,64.31,64.77,64.01,64.49,62.7,2510500,0.0,0.0
2015-10-28,64.76,65.98,64.26,65.96,64.12,4066900,0.0,0.0
2015-10-29,65.61,66.17,65.51,65.91,64.08,2564200,0.0,0.0
2015-10-30,66.06,66.27,65.19,65.3,63.48,2761300,0.0,0.0
2015-11-02,65.54,67.02,65.48,66.82,64.96,2635900,0.0,0.0
2015-11-03,66.63,67.68,66.45,67.22,65.35,2238700,0.0,0.0
2015-11-04,67.49,67.55,66.46,66.84,64.98,2828600,0.0,0.0
2015-11-05,66.91,67.25,66.04,66.69,64.83,2673700,0.0,0.0
2015-11-06,66.44,66.83,65.64,66.64,64.79,3281400,0.0,0.0
2015-11-09,66.18,66.27,64.67,65.4,63.58,3826900,0.0,0.0
2015-11-10,65.05,65.71,64.83,65.62,63.79,2299300,0.0,0.0
2015-11-11,65.9,65.92,65.13,65.16,63.35,2526000,0.0,0.0
2015-11-12,64.4,64.74,63.34,63.35,61.59,4353500,0.0,0.0
2015-11-13,63.03,63.23,61.85,61.91,60.19,5451200,0.0,0.0
2015-11-16,61.78,63.82,61.69,63.78,62.01,4197600,0.0,0.0
2015-11-17,64.04,64.67,63.34,63.64,61.87,5609400,0.0,0.0
2015-11-18,64.05,65.82,64.02,65.72,63.89,4124500,0.0,0.0
2015-11-19,65.61,65.92,65.4,65.6,63.77,2085100,0.0,0.0
2015-11-20,66.18,66.59,65.8,66.08,64.24,2392700,0.0,0.0
2015-11-23,66.1,66.51,65.58,65.94,64.11,2148200,0.0,0.0
2015-11-24,65.19,66.41,64.89,66.09,64.25,3169500,0.0,0.0
2015-11-25,66.22,66.35,65.9,66.1,64.26,1536400,0.0,0.0
2015-11-27,66.15,66.36,65.79,66.21,64.37,984200,0.0,0.0
2015-11-30,66.33,66.44,65.6,65.69,63.86,3485700,0.0,0.0
2015-12-01,66.14,67.03,65.94,66.93,65.07,3354200,0.0,0.0
2015-12-02,66.89,67.12,65.37,65.55,63.73,3175200,0.0,0.0
2015-12-03,65.76,65.94,63.17,63.68,61.91,4754800,0.0,0.0
2015-12-04,64.02,66.42,63.91,66.17,64.33,4785200,0.0,0.0
2015-12-07,65.95,65.95,64.66,65.36,63.54,2846300,0.0,0.0
2015-12-08,64.18,65.19,63.77,64.5,62.71,3529200,0.0,0.0
2015-12-09,64.03,65.58,62.77,63.48,61.71,5851400,0.0,0.0
2015-12-10,63.57,64.78,63.36,63.81,62.03,3611400,0.0,0.0
2015-12-11,62.27,62.73,61.1,61.27,59.57,6870100,0.0,0.0
2015-12-14,61.47,62.0,60.16,61.96,60.24,7291400,0.0,0.0
