Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-05-24,49.04,49.26,48.17,48.51,48.25,3428000,0.0,0.0
2019-05-28,48.67,49.23,47.17,47.21,46.95,3507700,0.0,0.0
2019-05-29,46.51,46.75,45.42,46.27,46.02,5196800,0.0,0.0
2019-05-30,46.59,47.06,45.95,46.6,46.35,5670500,0.0,0.0
2019-05-31,45.12,45.6,44.65,44.69,44.45,6215200,0.0,0.0
2019-06-03,44.66,45.28,43.58,44.33,44.09,6459900,0.0,0.0
2019-06-04,45.55,47.27,45.3,47.21,46.95,4221100,0.0,0.0
2019-06-05,48.11,48.43,47.08,48.4,48.14,3986500,0.0,0.0
2019-06-06,48.59,49.73,48.2,49.32,49.05,3629000,0.0,0.0
2019-06-07,49.94,51.44,49.83,50.81,50.53,5140400,0.0,0.0
2019-06-10,51.73,52.5,51.48,51.51,51.23,5488700,0.0,0.0
2019-06-11,52.6,52.8,51.09,51.47,51.19,4324900,0.0,0.0
2019-06-12,51.32,51.65,50.88,51.19,50.91,3043900,0.0,0.0
2019-06-13,51.72,52.0,51.29,51.86,51.58,3268100,0.0,0.0
2019-06-14,51.6,51.96,51.17,51.6,51.32,1934500,0.0,0.0
2019-06-17,51.74,52.11,51.56,51.69,51.41,2992800,0.0,0.0
2019-06-18,52.76,53.92,52.54,53.22,52.93,4709100,0.0,0.0
2019-06-19,53.35,53.96,52.75,53.66,53.37,3436400,0.0,0.0
2019-06-20,55.25,55.4,53.92,55.15,54.85,3900400,0.0,0.0
2019-06-21,54.97,55.75,54.77,54.94,54.64,2931300,0.0,0.0
2019-06-24,55.02,55.22,54.59,54.72,54.42,1894800,0.0,0.0
2019-06-25,54.61,54.63,52.89,53.04,52.84,4122900,0.089,0.0
2019-06-26,53.53,53.83,52.75,52.81,52.61,2980700,0.0,0.0
2019-06-27,53.26,53.65,53.05,53.4,53.2,2358300,0.0,0.0
2019-06-28,53.93,54.45,53.63,54.15,53.94,3692200,0.0,0.0
2019-07-01,56.16,56.32,54.88,55.56,55.35,4760300,0.0,0.0
2019-07-02,55.57,56.09,55.06,56.09,55.87,2202800,0.0,0.0
2019-07-03,56.44,57.34,56.35,57.33,57.11,2007700,0.0,0.0
2019-07-05,56.55,57.25,55.75,57.08,56.86,2823400,0.0,0.0
2019-07-08,56.31,56.49,55.85,56.23,56.01,2525600,0.0,0.0
2019-07-09,55.44,56.58,55.44,56.42,56.2,1796700,0.0,0.0
2019-07-10,57.08,57.79,56.73,57.22,57.0,3641800,0.0,0.0
2019-07-11,57.59,57.73,56.93,57.57,57.35,3043800,0.0,0.0
2019-07-12,57.89,58.38,57.68,58.38,58.16,2712700,0.0,0.0
2019-07-15,58.58,58.6,58.08,58.39,58.17,1393200,0.0,0.0
2019-07-16,58.33,58.43,57.61,57.81,57.59,2063600,0.0,0.0
2019-07-17,57.78,57.9,56.63,56.66,56.44,2749400,0.0,0.0
2019-07-18,56.29,57.44,55.99,57.24,57.02,2605200,0.0,0.0
2019-07-19,57.89,57.94,56.12,56.26,56.04,2900500,0.0,0.0
2019-07-22,56.5,56.97,56.15,56.67,56.45,2060900,0.0,0.0
2019-07-23,57.35,57.84,56.83,57.83,57.61,2501100,0.0,0.0
2019-07-24,57.36,58.63,57.31,58.63,58.41,2343100,0.0,0.0
2019-07-25,58.37,58.38,57.27,57.76,57.54,3262200,0.0,0.0
2019-07-26,58.23,59.05,58.14,58.94,58.71,1986400,0.0,0.0
2019-07-29,58.85,58.87,58.24,58.64,58.42,2174600,0.0,0.0
2019-07-30,57.69,58.41,57.45,58.22,58.0,2323400,0.0,0.0
2019-07-31,58.32,58.43,54.93,56.21,55.99,5141400,0.0,0.0
2019-08-01,56.31,58.15,54.25,54.79,54.58,7330100,0.0,0.0
2019-08-02,54.2,54.32,52.54,53.6,53.39,6777700,0.0,0.0
2019-08-05,51.0,51.05,47.51,48.83,48.64,8960100,0.0,0.0
2019-08-06,49.73,50.81,48.88,50.7,50.51,5565800,0.0,0.0
2019-08-07,48.89,51.22,47.66,50.81,50.62,8053300,0.0,0.0
2019-08-08,51.64,53.73,51.32,53.73,53.52,5954900,0.0,0.0
2019-08-09,53.17,53.53,51.54,52.63,52.43,5890400,0.0,0.0
2019-08-12,51.71,52.05,50.13,50.69,50.5,5909600,0.0,0.0
2019-08-13,50.51,53.9,50.29,53.03,52.83,7187600,0.0,0.0
2019-08-14,50.65,50.98,48.28,48.38,48.19,9638300,0.0,0.0
2019-08-15,48.85,49.21,47.58,48.74,48.55,6509500,0.0,0.0
2019-08-16,49.66,51.1,49.63,50.87,50.67,5440900,0.0,0.0
2019-08-19,52.65,53.09,52.23,52.7,52.5,3244500,0.0,0.0
2019-08-20,52.4,52.69,51.39,51.47,51.27,3364700,0.0,0.0
2019-08-21,52.73,52.95,52.27,52.72,52.52,3016900,0.0,0.0
2019-08-22,53.11,53.5,51.6,52.65,52.45,3841700,0.0,0.0
2019-08-23,51.88,52.85,47.84,48.56,48.37,9240700,0.0,0.0
2019-08-26,49.8,50.16,48.95,50.15,49.96,4717300,0.0,0.0
2019-08-27,50.99,51.19,49.14,49.6,49.41,3699300,0.0,0.0
2019-08-28,49.18,50.71,48.76,50.63,50.44,3996500,0.0,0.0
2019-08-29,52.11,52.83,51.51,52.54,52.34,3304800,0.0,0.0
2019-08-30,53.41,53.43,51.91,52.49,52.29,4158600,0.0,0.0
2019-09-03,51.44,51.97,50.75,51.56,51.36,4033400,0.0,0.0
2019-09-04,52.81,53.27,52.35,53.25,53.05,3325600,0.0,0.0
2019-09-05,54.76,55.86,54.68,55.32,55.11,3664800,0.0,0.0
2019-09-06,55.52,55.81,55.08,55.46,55.25,2369400,0.0,0.0
2019-09-09,56.04,56.08,54.91,55.5,55.29,2352900,0.0,0.0
2019-09-10,55.01,55.5,54.24,55.5,55.29,3024200,0.0,0.0
2019-09-11,55.64,56.68,55.28,56.68,56.46,2334700,0.0,0.0
2019-09-12,57.17,57.84,56.69,57.16,56.94,3332700,0.0,0.0
2019-09-13,57.47,57.69,56.83,57.03,56.81,2064600,0.0,0.0
2019-09-16,56.32,56.8,56.11,56.54,56.32,1877300,0.0,0.0
2019-09-17,56.36,57.0,56.3,56.98,56.76,1893800,0.0,0.0
2019-09-18,56.7,57.11,55.41,57.07,56.85,3646100,0.0,0.0
2019-09-19,57.25,57.89,56.79,56.98,56.76,2298300,0.0,0.0
2019-09-20,57.4,57.55,55.74,56.13,55.91,2531200,0.0,0.0
2019-09-23,55.76,56.58,55.6,56.18,55.96,1317400,0.0,0.0
2019-09-24,56.82,57.04,54.22,54.8,54.59,3688300,0.0,0.0
2019-09-25,54.83,56.04,53.94,55.76,55.55,2176300,0.0,0.0
2019-09-26,55.77,55.87,54.54,55.42,55.21,3557100,0.0,0.0
2019-09-27,55.87,55.91,53.55,54.48,54.27,4040900,0.0,0.0
2019-09-30,54.78,55.67,54.78,55.27,55.06,1919800,0.0,0.0
2019-10-01,55.77,56.18,53.12,53.29,53.09,4904000,0.0,0.0
2019-10-02,52.29,52.31,49.66,50.45,50.26,7250000,0.0,0.0
2019-10-03,50.28,51.65,48.72,51.65,51.45,6127100,0.0,0.0
2019-10-04,52.05,53.87,51.99,53.72,53.51,4629500,0.0,0.0
2019-10-07,53.26,54.21,52.85,53.04,52.84,4394500,0.0,0.0
2019-10-08,51.89,52.34,50.53,50.57,50.38,5932000,0.0,0.0
2019-10-09,51.72,52.51,51.35,51.94,51.74,2695400,0.0,0.0
2019-10-10,51.89,53.52,51.8,52.99,52.79,4315700,0.0,0.0
2019-10-11,54.65,55.96,54.57,54.59,54.38,5764100,0.0,0.0
2019-10-14,54.43,54.85,54.25,54.47,54.26,2069200,0.0,0.0
2019-10-15,55.09,56.51,55.02,56.1,55.88,2823300,0.0,0.0
2019-10-16,55.79,56.21,55.52,55.82,55.61,2191500,0.0,0.0
2019-10-17,56.5,56.8,55.83,56.26,56.04,2576800,0.0,0.0
2019-10-18,55.92,56.31,54.96,55.5,55.29,2371000,0.0,0.0
2019-10-21,56.3,56.74,56.05,56.69,56.47,1390900,0.0,0.0
2019-10-22,57.0,57.12,56.01,56.08,55.86,2111200,0.0,0.0
2019-10-23,55.91,56.58,55.78,56.56,56.34,1625600,0.0,0.0
2019-10-24,57.11,57.19,56.28,56.8,56.58,2772200,0.0,0.0
2019-10-25,56.44,57.82,56.44,57.54,57.32,2570900,0.0,0.0
2019-10-28,58.25,58.76,58.24,58.5,58.28,2415000,0.0,0.0
2019-10-29,58.26,58.96,58.18,58.39,58.17,2145100,0.0,0.0
2019-10-30,58.55,59.13,57.68,58.96,58.73,2834600,0.0,0.0
2019-10-31,58.87,58.87,57.5,58.42,58.2,3326500,0.0,0.0
2019-11-01,59.32,60.05,59.23,60.04,59.81,2545200,0.0,0.0
2019-11-04,61.05,61.13,60.51,60.76,60.53,2945800,0.0,0.0
2019-11-05,60.89,61.05,60.34,60.54,60.31,2147400,0.0,0.0
2019-11-06,60.55,60.74,59.95,60.61,60.38,2653400,0.0,0.0
2019-11-07,61.43,61.94,60.88,61.23,61.0,3045200,0.0,0.0
2019-11-08,60.93,61.63,60.5,61.61,61.37,2210300,0.0,0.0
2019-11-11,60.73,61.38,60.62,61.32,61.08,1490300,0.0,0.0
2019-11-12,61.5,62.24,61.14,61.62,61.38,3934400,0.0,0.0
