Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-05-27,23.67,24.25,23.54,24.14,23.73,4542600,0.0,0.0
2015-05-28,24.02,24.12,23.79,24.08,23.67,4240200,0.0,0.0
2015-05-29,24.04,24.06,23.52,23.6,23.2,6757500,0.0,0.0
2015-06-01,23.88,24.02,23.45,23.76,23.36,5852700,0.0,0.0
2015-06-02,23.58,23.97,23.33,23.69,23.29,5782200,0.0,0.0
2015-06-03,23.9,24.14,23.69,23.87,23.47,7571100,0.0,0.0
2015-06-04,23.59,23.83,23.15,23.32,22.93,9445800,0.0,0.0
2015-06-05,23.22,23.42,22.89,23.17,22.78,6881100,0.0,0.0
2015-06-08,23.11,23.16,22.7,22.74,22.35,6214500,0.0,0.0
2015-06-09,22.73,22.92,22.47,22.7,22.32,6121800,0.0,0.0
2015-06-10,23.02,23.68,23.0,23.54,23.14,9434100,0.0,0.0
2015-06-11,23.71,23.91,23.61,23.75,23.35,5526600,0.0,0.0
2015-06-12,23.4,23.48,23.1,23.19,22.8,7543200,0.0,0.0
2015-06-15,22.75,23.01,22.47,22.88,22.5,9656100,0.0,0.0
2015-06-16,22.84,23.31,22.78,23.29,22.89,4993500,0.0,0.0
2015-06-17,23.41,23.63,22.98,23.4,23.0,8060400,0.0,0.0
2015-06-18,23.6,24.3,23.59,24.09,23.68,7441800,0.0,0.0
2015-06-19,24.03,24.05,23.67,23.67,23.27,5446200,0.0,0.0
2015-06-22,24.17,24.39,24.08,24.16,23.75,6250200,0.0,0.0
2015-06-23,24.23,24.34,24.05,24.21,23.8,3783300,0.0,0.0
2015-06-24,24.11,24.24,23.67,23.67,23.28,4942500,0.005,0.0
2015-06-25,23.89,23.93,23.43,23.44,23.05,4477200,0.0,0.0
2015-06-26,23.6,23.7,23.23,23.44,23.05,4945200,0.0,0.0
2015-06-29,22.85,23.11,21.94,21.98,21.61,16036500,0.0,0.0
2015-06-30,22.56,22.58,21.92,22.13,21.76,24794400,0.0,0.0
2015-07-01,22.74,22.8,22.34,22.63,22.25,11800200,0.0,0.0
2015-07-02,22.82,22.88,22.41,22.56,22.18,6821100,0.0,0.0
2015-07-06,22.05,22.67,21.98,22.37,22.0,8691600,0.0,0.0
2015-07-07,22.46,22.83,21.53,22.77,22.39,15372300,0.0,0.0
2015-07-08,22.27,22.38,21.56,21.65,21.29,15667500,0.0,0.0
2015-07-09,22.45,22.53,21.74,21.75,21.39,10105800,0.0,0.0
2015-07-10,22.51,22.73,22.26,22.58,22.2,10496100,0.0,0.0
2015-07-13,23.07,23.37,23.05,23.32,22.93,8187000,0.0,0.0
2015-07-14,23.3,23.75,23.3,23.64,23.25,6625200,0.0,0.0
2015-07-15,23.65,23.82,23.41,23.6,23.21,6007800,0.0,0.0
2015-07-16,24.02,24.16,23.93,24.14,23.73,7946400,0.0,0.0
2015-07-17,24.17,24.25,24.0,24.21,23.81,5041200,0.0,0.0
2015-07-20,24.33,24.45,24.13,24.26,23.86,6132300,0.0,0.0
2015-07-21,24.19,24.31,23.84,23.96,23.56,6129600,0.0,0.0
2015-07-22,23.68,23.97,23.67,23.81,23.42,4670700,0.0,0.0
2015-07-23,23.9,23.92,23.29,23.42,23.03,5597400,0.0,0.0
2015-07-24,23.46,23.49,22.57,22.71,22.33,9755400,0.0,0.0
2015-07-27,22.37,22.55,22.14,22.3,21.93,9007200,0.0,0.0
2015-07-28,22.64,23.18,22.31,23.12,22.73,8682900,0.0,0.0
2015-07-29,23.17,23.68,23.11,23.59,23.2,7464000,0.0,0.0
2015-07-30,23.4,23.68,23.14,23.6,23.2,5947200,0.0,0.0
2015-07-31,23.82,23.82,23.39,23.5,23.11,5388000,0.0,0.0
2015-08-03,23.48,23.5,22.88,23.24,22.86,6220500,0.0,0.0
2015-08-04,23.23,23.41,22.94,23.12,22.73,4466400,0.0,0.0
2015-08-05,23.49,23.76,23.24,23.34,22.95,5949000,0.0,0.0
2015-08-06,23.41,23.47,22.54,22.83,22.45,7345500,0.0,0.0
2015-08-07,22.72,22.77,22.29,22.64,22.26,9495300,0.0,0.0
2015-08-10,23.08,23.53,23.08,23.48,23.09,6664200,0.0,0.0
2015-08-11,22.95,23.12,22.56,22.85,22.47,11550000,0.0,0.0
2015-08-12,22.34,23.01,21.78,22.92,22.53,15277800,0.0,0.0
2015-08-13,22.9,23.14,22.64,22.85,22.47,9864900,0.0,0.0
2015-08-14,22.78,23.12,22.72,23.09,22.7,5441100,0.0,0.0
2015-08-17,22.86,23.48,22.68,23.48,23.09,7747500,0.0,0.0
2015-08-18,23.37,23.51,23.19,23.28,22.89,5543700,0.0,0.0
2015-08-19,22.97,23.28,22.41,22.74,22.36,18949500,0.0,0.0
2015-08-20,22.14,22.34,21.28,21.3,20.94,17135100,0.0,0.0
2015-08-21,20.6,20.96,19.28,19.3,18.98,25025400,0.0,0.0
2015-08-24,16.24,18.78,14.33,17.08,16.79,25565100,0.0,0.0
2015-08-25,18.67,18.67,16.25,16.28,16.01,20093100,0.0,0.0
2015-08-26,17.55,18.27,16.6,18.2,17.9,23184600,0.0,0.0
2015-08-27,18.92,19.59,18.41,19.56,19.23,24416400,0.0,0.0
2015-08-28,19.32,19.71,19.15,19.56,19.24,18523800,0.0,0.0
2015-08-31,19.2,19.5,18.88,19.07,18.75,9913500,0.0,0.0
2015-09-01,17.77,18.22,17.07,17.37,17.08,21837300,0.0,0.0
2015-09-02,18.13,18.35,17.53,18.34,18.03,11081700,0.0,0.0
2015-09-03,18.59,19.09,18.22,18.37,18.06,13308000,0.0,0.0
2015-09-04,17.61,17.9,17.27,17.55,17.26,14877900,0.0,0.0
2015-09-08,18.47,18.92,18.26,18.88,18.56,13996200,0.0,0.0
2015-09-09,19.41,19.46,17.98,18.11,17.81,14456700,0.0,0.0
2015-09-10,18.04,18.79,17.96,18.4,18.1,11565300,0.0,0.0
2015-09-11,18.25,18.66,18.04,18.66,18.35,10085100,0.0,0.0
2015-09-14,18.7,18.73,18.29,18.43,18.13,8037900,0.0,0.0
2015-09-15,18.62,19.29,18.47,19.16,18.84,12079800,0.0,0.0
2015-09-16,19.24,19.7,19.13,19.63,19.3,11234400,0.0,0.0
2015-09-17,19.59,20.42,19.38,19.53,19.2,19141200,0.0,0.0
2015-09-18,18.65,19.17,18.41,18.55,18.24,16576500,0.0,0.0
2015-09-21,18.83,19.18,18.48,18.84,18.52,10135800,0.0,0.0
2015-09-22,18.12,18.26,17.73,18.11,17.81,14743200,0.0,0.0
2015-09-23,18.17,18.32,17.82,18.0,17.7,13698000,0.0,0.0
2015-09-24,17.6,17.97,17.17,17.84,17.54,22494600,0.0,0.0
2015-09-25,18.31,18.4,17.52,17.79,17.5,20668500,0.0,0.0
2015-09-28,17.51,17.54,16.36,16.45,16.17,23085300,0.0,0.0
2015-09-29,16.53,16.91,16.18,16.48,16.21,19977000,0.0,0.0
2015-09-30,17.07,17.46,16.83,17.42,17.13,23019000,0.0,0.0
2015-10-01,17.54,17.64,16.92,17.56,17.27,16883700,0.0,0.0
2015-10-02,16.9,18.33,16.73,18.29,17.99,22710000,0.0,0.0
2015-10-05,18.74,19.38,18.71,19.3,18.98,16274400,0.0,0.0
2015-10-06,19.26,19.46,18.88,19.1,18.78,12097800,0.0,0.0
2015-10-07,19.44,19.7,19.02,19.59,19.27,12490200,0.0,0.0
2015-10-08,19.45,20.2,19.33,20.1,19.76,13540500,0.0,0.0
2015-10-09,20.16,20.31,19.92,20.14,19.8,9845400,0.0,0.0
2015-10-12,20.16,20.27,20.02,20.22,19.89,6043500,0.0,0.0
2015-10-13,19.93,20.39,19.76,19.82,19.49,8850900,0.0,0.0
2015-10-14,19.77,20.0,19.43,19.52,19.19,6542400,0.0,0.0
2015-10-15,19.75,20.43,19.63,20.41,20.07,10359600,0.0,0.0
2015-10-16,20.59,20.71,20.3,20.68,20.34,7835400,0.0,0.0
2015-10-19,20.47,20.73,20.36,20.73,20.38,4996800,0.0,0.0
2015-10-20,20.57,20.88,20.49,20.64,20.29,5374200,0.0,0.0
2015-10-21,20.81,20.86,20.21,20.28,19.94,8672400,0.0,0.0
2015-10-22,20.62,21.37,20.57,21.28,20.92,14396100,0.0,0.0
2015-10-23,21.94,22.13,21.63,21.99,21.62,10506000,0.0,0.0
2015-10-26,21.95,21.95,21.7,21.85,21.48,5952900,0.0,0.0
2015-10-27,21.6,21.84,21.46,21.69,21.32,6850500,0.0,0.0
2015-10-28,21.83,22.45,21.59,22.44,22.06,13090500,0.0,0.0
2015-10-29,22.24,22.54,22.21,22.43,22.06,5206200,0.0,0.0
2015-10-30,22.49,22.6,22.05,22.09,21.72,5510100,0.0,0.0
2015-11-02,22.23,22.97,22.19,22.88,22.49,5848800,0.0,0.0
2015-11-03,22.77,23.32,22.68,23.07,22.69,7306200,0.0,0.0
2015-11-04,23.21,23.26,22.69,22.91,22.52,7452300,0.0,0.0
2015-11-05,22.9,23.09,22.48,22.81,22.43,6729600,0.0,0.0
2015-11-06,22.67,22.87,22.27,22.77,22.39,7229100,0.0,0.0
2015-11-09,22.55,22.59,21.78,22.14,21.77,9477600,0.0,0.0
2015-11-10,21.96,22.31,21.86,22.26,21.89,4887000,0.0,0.0
2015-11-11,22.4,22.41,22.0,22.02,21.65,6771600,0.0,0.0
2015-11-12,21.63,21.8,21.1,21.11,20.75,9349800,0.0,0.0
2015-11-13,20.96,21.05,20.36,20.39,20.05,12513600,0.0,0.0
2015-11-16,20.33,21.33,20.28,21.32,20.96,10067400,0.0,0.0
2015-11-17,21.45,21.76,21.09,21.24,20.89,15612900,0.0,0.0
2015-11-18,21.46,22.33,21.43,22.26,21.89,11173800,0.0,0.0
2015-11-19,22.23,22.39,22.12,22.23,21.86,6837900,0.0,0.0
2015-11-20,22.53,22.73,22.32,22.47,22.1,6363300,0.0,0.0
2015-11-23,22.5,22.68,22.22,22.38,22.0,4448400,0.0,0.0
2015-11-24,22.01,22.63,21.85,22.48,22.11,8880600,0.0,0.0
2015-11-25,22.53,22.6,22.37,22.46,22.08,3189300,0.0,0.0
2015-11-27,22.49,22.62,22.32,22.52,22.14,2758500,0.0,0.0
2015-11-30,22.62,22.65,22.22,22.27,21.9,5010300,0.0,0.0
2015-12-01,22.5,22.94,22.4,22.9,22.51,8841300,0.0,0.0
2015-12-02,22.85,23.0,22.09,22.17,21.8,8100300,0.0,0.0
2015-12-03,22.3,22.38,20.98,21.25,20.89,13597500,0.0,0.0
2015-12-04,21.4,22.61,21.35,22.49,22.11,10888800,0.0,0.0
2015-12-07,22.37,22.37,21.71,22.08,21.71,7078500,0.0,0.0
2015-12-08,21.48,21.98,21.26,21.63,21.27,8496900,0.0,0.0
2015-12-09,21.39,22.18,20.75,21.14,20.79,13983600,0.0,0.0
2015-12-10,21.15,21.76,21.07,21.26,20.91,7375800,0.0,0.0
2015-12-11,20.52,20.75,19.93,20.02,19.68,16999200,0.0,0.0
2015-12-14,20.07,20.38,19.48,20.36,20.02,12975300,0.0,0.0
2015-12-15,20.91,21.31,20.84,20.99,20.64,14816700,0.0,0.0
2015-12-16,21.39,22.02,20.93,21.91,21.54,12985200,0.0,0.0
2015-12-17,22.06,22.06,20.91,20.93,20.58,13951200,0.0,0.0
2015-12-18,20.61,20.67,19.75,19.75,19.42,17652300,0.0,0.0
2015-12-21,20.22,20.33,19.81,20.29,19.95,8378700,0.0,0.0
2015-12-22,20.52,20.88,20.19,20.79,20.48,10327200,0.04367,0.0
2015-12-23,21.15,21.56,21.11,21.55,21.23,7962300,0.0,0.0
2015-12-24,21.46,21.64,21.36,21.4,21.08,2764800,0.0,0.0
2015-12-28,21.17,21.3,20.9,21.3,20.99,6853800,0.0,0.0
2015-12-29,21.68,22.08,21.68,21.97,21.65,8311800,0.0,0.0
2015-12-30,21.89,21.9,21.45,21.51,21.2,4919700,0.0,0.0
2015-12-31,21.27,21.48,20.85,20.87,20.57,8586900,0.0,0.0
2016-01-04,19.79,19.98,19.23,19.97,19.68,19974000,0.0,0.0
2016-01-05,20.1,20.24,19.69,20.08,19.79,10502400,0.0,0.0
2016-01-06,19.18,19.68,18.95,19.32,19.04,16666500,0.0,0.0
2016-01-07,18.33,18.9,17.79,17.93,17.67,21254400,0.0,0.0
2016-01-08,18.27,18.42,17.24,17.33,17.08,18732900,0.0,0.0
2016-01-11,17.61,17.73,16.76,17.36,17.11,23753100,0.0,0.0
2016-01-12,17.84,18.04,17.12,17.81,17.55,19596900,0.0,0.0
2016-01-13,18.03,18.13,16.34,16.46,16.22,22819800,0.0,0.0
2016-01-14,16.67,17.63,16.16,17.27,17.02,21310500,0.0,0.0
2016-01-15,15.9,16.42,15.55,16.14,15.9,29095200,0.0,0.0
2016-01-19,16.72,16.75,15.74,16.23,15.99,16617900,0.0,0.0
2016-01-20,15.46,16.07,14.41,15.61,15.39,38518200,0.0,0.0
2016-01-21,15.77,16.41,15.36,15.84,15.61,18452100,0.0,0.0
2016-01-22,16.64,16.89,16.42,16.84,16.59,15279900,0.0,0.0
2016-01-25,16.67,16.73,16.01,16.09,15.86,12255600,0.0,0.0
2016-01-26,16.27,16.81,16.17,16.73,16.49,11205900,0.0,0.0
2016-01-27,16.57,17.08,15.89,16.18,15.95,17909100,0.0,0.0
2016-01-28,16.62,16.71,15.92,16.44,16.2,13276800,0.0,0.0
2016-01-29,16.67,17.66,16.63,17.66,17.41,15464100,0.0,0.0
2016-02-01,17.28,17.86,17.12,17.61,17.35,9790800,0.0,0.0
2016-02-02,17.11,17.15,16.49,16.67,16.42,15037500,0.0,0.0
2016-02-03,16.99,17.07,15.85,16.95,16.7,20985900,0.0,0.0
2016-02-04,16.8,17.33,16.6,17.02,16.77,14924400,0.0,0.0
2016-02-05,16.85,16.89,15.86,16.05,15.81,15959700,0.0,0.0
2016-02-08,15.48,15.58,14.74,15.39,15.16,19015800,0.0,0.0
2016-02-09,14.88,15.77,14.85,15.38,15.16,17116800,0.0,0.0
2016-02-10,15.66,16.13,15.32,15.37,15.14,14287500,0.0,0.0
2016-02-11,14.63,15.07,14.33,14.81,14.59,23191200,0.0,0.0
2016-02-12,15.26,15.68,15.03,15.68,15.45,11727900,0.0,0.0
2016-02-16,16.23,16.47,15.93,16.45,16.21,11564700,0.0,0.0
